env,metric,agent_a,agent_b,mean_a,ci_a,mean_b,ci_b,diff,cohens_d,t_stat,p_raw,n_seeds,p_seed_level,cohens_d_seed_level,significant_hb,significant_hb_seed_level
Tiger,Reward,Planning+IG,EpistemicOnly,4.2112,"[4.078, 4.328]",-45.308,"[-46.870, -43.746]",49.5192,1.2689842527573878,63.44921263786939,0.0,5,1.1059234321709672e-06,29.61437573257662,True,True
Tiger,Reward,Planning+IG,EFE,4.2112,"[4.078, 4.328]",5.186,"[4.936, 5.408]",-0.9748000000000001,-0.14438658935280926,-7.219329467640463,5.604757367000324e-13,5,0.006635581344219606,-2.7929902138934564,True,False
Tiger,Reward,Planning+IG,Thompson,4.2112,"[4.078, 4.328]",3.7912,"[3.246, 4.323]",0.41999999999999993,0.029669543184517987,1.4834771592258993,0.13797920209531384,5,0.2936413655374048,0.753721069322892,False,False
Tiger,Reward,Planning+IG,PyMDP-AIF,4.2112,"[4.078, 4.328]",3.7912,"[3.246, 4.323]",0.41999999999999993,0.029669543184517987,1.4834771592258993,0.13797920209531384,5,0.2936413655374048,0.753721069322892,False,False
Tiger,Reward,EpistemicOnly,EFE,-45.308,"[-46.870, -43.746]",5.186,"[4.936, 5.408]",-50.494,-1.2832449486630222,-64.16224743315112,0.0,5,5.282919563699291e-07,-29.711859172582585,True,True
Tiger,Reward,EpistemicOnly,Thompson,-45.308,"[-46.870, -43.746]",3.7912,"[3.246, 4.323]",-49.099199999999996,-1.1897361140066745,-59.486805700333726,0.0,5,1.67749173825283e-07,-27.99118483275601,True,True
Tiger,Reward,EpistemicOnly,PyMDP-AIF,-45.308,"[-46.870, -43.746]",3.7912,"[3.246, 4.323]",-49.099199999999996,-1.1897361140066745,-59.486805700333726,0.0,5,1.67749173825283e-07,-27.99118483275601,True,True
Tiger,Reward,EFE,Thompson,5.186,"[4.936, 5.408]",3.7912,"[3.246, 4.323]",1.3948,0.0927935085470889,4.639675427354445,3.533913121881173e-06,5,0.011453680530499019,2.198156198044662,True,False
Tiger,Reward,EFE,PyMDP-AIF,5.186,"[4.936, 5.408]",3.7912,"[3.246, 4.323]",1.3948,0.0927935085470889,4.639675427354445,3.533913121881173e-06,5,0.011453680530499019,2.198156198044662,True,False
Tiger,Reward,Thompson,PyMDP-AIF,3.7912,"[3.246, 4.323]",3.7912,"[3.246, 4.323]",0.0,0.0,0.0,1.0,5,1.0,0.0,False,False
Tiger,Success,Myopic,Planning,0.8532,"[0.844, 0.863]",0.9944,"[0.992, 0.996]",-0.1412,-0.5520416486438476,-27.60208243219238,1.0909412985791284e-161,5,6.491505122897247e-08,-21.659091285049737,True,True
Tiger,Success,Myopic,InfoGain,0.8532,"[0.844, 0.863]",0.8532,"[0.844, 0.863]",0.0,0.0,0.0,1.0,5,1.0,0.0,False,False
Tiger,Success,Myopic,InfoGain-Tuned,0.8532,"[0.844, 0.863]",0.9944,"[0.992, 0.996]",-0.1412,-0.5520416486438476,-27.60208243219238,1.0909412985791284e-161,5,6.491505122897247e-08,-21.659091285049737,True,True
Tiger,Success,Myopic,Planning+IG,0.8532,"[0.844, 0.863]",0.9988,"[0.998, 1.000]",-0.14560000000000006,-0.5789971249173935,-28.94985624586967,4.943261558570367e-177,5,1.586955280298002e-06,-24.54087499366202,True,True
Tiger,Success,Myopic,EpistemicOnly,0.8532,"[0.844, 0.863]",0.4972,"[0.483, 0.511]",0.356,0.8217995276191828,41.08997638095915,0.0,5,2.547536516470199e-07,21.901990756358117,True,True
Tiger,Success,Myopic,EFE,0.8532,"[0.844, 0.863]",0.9944,"[0.992, 0.996]",-0.1412,-0.5520416486438476,-27.60208243219238,1.0909412985791284e-161,5,6.491505122897247e-08,-21.659091285049737,True,True
Tiger,Success,Myopic,Thompson,0.8532,"[0.844, 0.863]",0.9676,"[0.963, 0.972]",-0.11440000000000006,-0.4087913613491184,-20.439568067455923,5.304064178176081e-91,5,1.6083416789420145e-08,-14.893611416206245,True,True
Tiger,Success,Myopic,PyMDP-AIF,0.8532,"[0.844, 0.863]",0.9676,"[0.963, 0.972]",-0.11440000000000006,-0.4087913613491184,-20.439568067455923,5.304064178176081e-91,5,1.6083416789420145e-08,-14.893611416206245,True,True
